artist_name,artist_url,works,work_urls,category
Peggy Ahwesh,https://ubu.com/resources/ahwesh.html,"Top Tens, Jean Painleve - The Vampire Bat, Borbetomagus - Snuff Jazz, Kurt Kren - O Tannenbaum, Harry Dodge and Stanya Kahn Can't Swallow It, Can't Spit It Out, Pier Paolo Pasolini - Seeking Locations in Palestine for the Film ""The Gospel According to Matthew"" (Sopralluoghi in Palestina per il film ""Il Vangelo secondo Matteo""), The Signifying Monkey: Two Versions of a Toast), Forough Farrokhzad - The House is Black), Harrell Fletcher - Blot Out the Sun, Leslie Thornton - Photography is Easy, Version 2, Germaine Dulac - Invitation au Voyage","https://ubu.com/resources/top_tens.html, https://ubu.com/film/painleve_vampire.html, https://ubu.com/sound/borbetomagus.html, https://ubu.com/film/kren.html#tannenbaum, https://ubu.com/film/dodge_swallow.html, https://ubu.com/film/pasolini_palestine.html, https://ubu.com/ethno/soundings/monkey.html, https://ubu.com/film/farrokhzad_house.html, https://ubu.com/film/fletcher_blot.html, https://ubu.com/film/thornton_photography.html, https://ubu.com/film/dulac_invitation.html",UbuWeb Top Tens
Alejandra & Aeron,https://ubu.com/resources/aa.html,"Top Tens, The Films of Toshio Matsumoto (all, especially Weavers, Mothers, Ki, and Sway), Marie Mencken ""Glimpse of the Garden"" (1957), Edgard Varêse and Le Corbusier ""Poême électronique"" (1958), Kristin Oppenheim ""Selected Audio Works 1994-1997"", David Grubbs' Soundworks, Pandit Pran Nath ""Ragas of Morning and Night"", I.B.M. 7090 - Music From Mathematics, ""Tagasode"" Edo period, 17th century, Hidatsa: Lean Wolf's Complaint, Your Choice","https://ubu.com/resources/top_tens.html, https://ubu.com/film/matsumoto.html, https://ubu.com/film/menken.html, https://ubu.com/film/varese.html, https://ubu.com/sound/oppenheim.html, https://ubu.com/sound/grubbs.html, https://ubu.com/sound/nath.html, https://ubu.com/outsiders/365/2003/260.html, https://ubu.com/aspen/aspen10/tagasode.html, https://ubu.com/ethno/visuals/am_indian01.html, https://ubu.com/contemp/umbrico/yourchoice/YourChoice.html",UbuWeb Top Tens
Greg Allen,https://ubu.com/resources/allen.html,"Top Tens, On Kawara, One Million Years (1993) [MP3], Aspen 1 - ""Configurations of the New World"", Aspen 5+6 - Lichtspiel, by Laszlo Moholy-Nagy, Nancy Perloff, Postmodernism and the Music of John Cage (2002), Yves Klein, Conference á La Sorbonne (1959), Gordon Matta-Clark: Day's End (1975), Chris Burden, The TV Commercials, 1973-77, Tony Smith, The Maze (1967), Henning Lohner, John Cage's One11 and 103, The Making Of (1992), Answering Machine: Labeled ""Lennon, Cage, Yoko, Thanksgiving, Paik. November 24-December 6th"" (1972) [MP3], Yvonne Rainer, Hand Movie (1966), Alexander Calder, Le Cirque de Calder (1961), Alex Hubbard, Bootleg film of Robert Smithson's Hotel Palenque, 1969/2004","https://ubu.com/resources/top_tens.html, https://ubu.com/sound/kawara.html, https://ubu.com/aspen/aspen1/configurations.html, https://ubu.com/aspen/aspen5and6/film.html#moholyNagy, https://ubu.com/papers/perloff_nancy.html, https://ubu.com/sound/klein.html, https://ubu.com/film/gmc_daysend.html, https://ubu.com/film/burden_tv.html, https://ubu.com/aspen/aspen5and6/mazeDrawings.html, https://ubu.com/film/cage_one11_making.html, https://ubu.com/media/sound/moorman_charlotte/Moorman-Charlotte_09_Answering-Machine.mp3, https://ubu.com/film/rainer_hand-movie.html, https://ubu.com/film/calder.html, https://ubu.com/film/smithson_hotel.html",UbuWeb Top Tens
Samuel Andreyev,https://ubu.com/resources/andreyev.html,"Top Tens, George Antheil, Ballet Mécanique, Anton Webern, Fünf Sätze, Edgard Varèse, Déserts (world premiere), Karlheinz Stockhausen, Studie II, Carl Ruggles, Lilacs (first recording, performed by Nicolas Slonimsky), Phil Niblock, Toral, Charles Ives, ‘They are There’ (Ives plays Ives), André Boucourechliev, Archipel 3 (performed by Georges Pludermacher and les Percussions de Strasbourg)","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/antheil_george/netherlands/Antheil-George_Netherlands_1-Ballet-Mecanique.mp3, https://ubu.com/media/sound/wolffifth/24/String-Quartets_01_Anton-Webern_Funf-Satze-fur-Streichquartett-Op-5.mp3, https://ubu.com/media/sound/electronic/04-04-Edgard-Varese-Derserts-para-orquestra-e-tape-Estreria-mundial-com-Herrmann-Scherchen_1950-54.mp3, https://ubu.com/media/sound/electronic/03-13-Karlheinz-Stockhausen-Studie-II_1954.mp3, https://ubu.com/media/sound/slonimsky_nicolas/Slonimsky-Nicolas_04_Lilacs.mp3, https://ubu.com/media/sound/niblock_phil/G2-44-x2%20/niblock_phil-G2-44-x2-1-Toral.mp3, https://ubu.com/media/sound/ives_charles/ives-plays-ives/Ives-Charles_Plays-Ives_39-They-Are-There-second-take-1.mp3, https://ubu.com/media/sound/boucourechliev_andre/archipel/Boucourechliev-Andre_Archipel-3_1.mp3",UbuWeb Top Tens
Thomas Baumgartner,https://ubu.com/resources/baumgartner.html,"Top Tens, Run For Your Life, Stephen McLaughlin, Radioscopie De Jacques Chancel: Salvador Dalí Part 1, Luc Ferrari, Le Carnet Nomade, Brion Gysin, I am that I am, Kurt Schwitters/ Die Schwindlinge, Sonate in Urlauten - Zweiter Teil Largo, Philippe Soupault, Interview (1959), Erik Satie, Pièces pour guitares, Robert Desnos/ Description of a dream (1938), Jean Dubuffet, Humeur incertaine, Laurie Anderson, It's Not The Bullet That Kills You - It's The Hole","https://ubu.com/resources/top_tens.html, https://ubu.com/sound/mclaughlin.html, https://ubu.com/sound/dali.html, https://ubu.com/sound/ferrari.html, https://ubu.com/sound/gysin.html, https://ubu.com/sound/schwitters.html, https://ubu.com/sound/soupault.html, https://ubu.com/sound/satie_guitare.html, https://ubu.com/sound/desnos.html, https://ubu.com/sound/dubuffet.html, https://ubu.com/sound/anderson.html",UbuWeb Top Tens
Naomi Beckwith,https://ubu.com/resources/beckwith.html,"Top Tens, Tristan Tzara ""A Note On Negro Poetry"" (1918), Stan Douglas ""Der Sandmann"", Ben Patterson Tells Fluxus stories, Stephen Vitiello ""Drum and Organ"", Farfa ""Affaraffari"", Alfred Leslie & Frank O'Hara ""The Last Clean Shirt, Anton Corbijn ""Some YoYo Stuff: An observation of the observations of Don Van Vliet"", Mona Hatoum ""Measures of Distance"", Tehching Hsieh ""One Year Performance No. 2"", Aram Saroyan ""Crickets""","https://ubu.com/resources/top_tens.html, https://ubu.com/ethno/discourses/tzara.html, https://ubu.com/film/douglas_sandmann.html, https://ubu.com/sound/patterson.html, https://ubu.com/sound/vitiello.html, https://ubu.com/sound/farfa.html, https://ubu.com/film/leslie.html, https://ubu.com/film/corbijn.html, https://ubu.com/film/hatoum_measures.html, https://ubu.com/film/hsieh_clock.html, https://ubu.com/media/sound/12+2/10+2=12_12.Aram_Saroyan.mp3",UbuWeb Top Tens
Laura Beiles,https://ubu.com/resources/beiles.html,"Top Tens, Anita Feldman and Michael Kowalski, Riffle (1985), MoMA: Writing in Time (2007), Piotr Kamler, Films (1960s-90s), Fortunato Depero, Verbalizzazione astratta di signora (1916), Catherine Jauniaux & Ikue Mori, 'Smell' (1992), Abbie Hoffman Makes Gefilte Fish (1973), Mary Lou Green on Andy Warhol's Hair (1963), Cioni Carpi, Three Short Films (1960-62)","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/tellus_12/Tellus-12_07_Anita-Feldman-and-Michael-Kowalski-Riffle.mp3, https://ubu.com/sound/moma.html, https://ubu.com/film/kamler.html, https://ubu.com/media/sound/depero_fortunato/Depero-Fortunato_Verbal.mp3, https://ubu.com/media/sound/tellus_26/Tellus-26_05-Smell.mp3, https://ubu.com/film/hoffman.html, https://ubu.com/media/sound/warhol_andy/cronenberg/13_Cronenberg_Haircut.mp3, https://ubu.com/film/carpi_three_short.html",UbuWeb Top Tens
Belinda Blignaut,https://ubu.com/resources/darling.html,"Top Tens, Martin Kippenberger covers Joseph Beuys' Ja Ja Ja Nee Nee Nee (for grown-ups), Martin Kippenberger on UbuWeb Sound, Stanya Kahn's It's Cool, I'm Good, Michael Nyman's Decay Music, Survival Research Laboratories: 10 Years of Robotic Mayhe, Wolf Vostell's Sun in Your Head (Television Decollage), Ryan Trecartin's script for K-Corea, A compilation of Gutai: Japanese Performance Art 1956-70, Alan Kaprow's Untitled Essay & Other Works, Bas Jan Ader's Selected Works, Michel de Certeau's The Practice of Everyday Life, Assorted Street Posters #Outsiders, Art & Language with Red Krayola: Nine Gross and Conspicuous Errors (1976), Guy Ben-Ner: Stealing Beauty (2007), Seth Price's Go Home/Stay at Home, Chris Marker: Junkopia, Jodi: My Desktop OS X 10.4.7 (2007), Shaker Visual Poetry: Gift Drawings & Gift Songs, Stephen Prina: Vinyl II (2007), Lynda Benglis: Female Sensibility (1974)","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/kippenberger_martin/greatest_hits/Kippenberger_Greatest_20-Ja-Ja-Ja-Nee,-Nee,-Nee-Fur-Erwachsene.mp3, https://ubu.com/sound/kippenberger.html, https://ubu.com/film/kahn_cool.html, https://ubu.com/sound/obscure_06.html, https://ubu.com/film/srl_mayhem.html, https://ubu.com/film/vostell.html, https://ubu.com/ubu/unpub/Unpub_046_Trecartin.pdf, https://ubu.com/film/gutai_comp.html, https://ubu.com/historical/gb/kaprow_untitled.pdf, https://ubu.com/film/ader_selected.html, https://ubu.com/papers/de_certeau.html, https://ubu.com/outsiders/ass.html, https://ubu.com/film/al_error.html, https://ubu.com/film/ben-ner_beauty.html, https://ubu.com/papers/Price-Seth_Go-Home.pdf, https://ubu.com/film/marker_junkopia.html, https://ubu.com/film/jodi_osx.html, https://ubu.com/ethno/visuals/shaker.html, https://ubu.com/film/prina_vinyl.html, https://ubu.com/film/benglis_female.html",UbuWeb Top Tens
derek beaulieu,https://ubu.com/resources/beaulieu.html,"Top Tens, Steve Reich “Livelihood” (1964), Mary Ellen Solt “Flowers in Concrete” (1966), Brain Eno “Discreet Music” (1975), John Riddell “A/Z does it” (1988), Fuck You: A Magazine of the Arts (1962-65), Darren Wershler “The Tapeworm Foundry”, James Joyce “Finnegans Wake” (1939), Luigi Serafini ""The Codex Seraphinanus” (1978), Marcel Duchamp “The Creative Act” (1957), Meredith Monk “Rally”, Georges Perec ""TENTATIVE DE DESCRIPTION DE CHOSES VUES AU CARREFOUR MABILLON LE 19 MAI 1978 (A. C. R.)","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/reich_steve/Reich-Steve_Livelihood_1964.mp3, https://ubu.com/historical/solt/solt_flowers.html, https://ubu.com/sound/obscure_03.html, https://ubu.com/media/text/vp/riddell_az_does_it_1988.pdf, https://ubu.com/vp/FuckYou.html, https://ubu.com/ubu/wershler_tapeworm.html, https://ubu.com/sound/joyce_fw.html, https://ubu.com/vp/Serafini.html, https://ubu.com/media/sound/surrealism/Surrealism-Reviewed_03-The-Creative-Act.mp3, https://ubu.com/media/sound/airwaves/Airwaves_06_MONK_RALLY.mp3, https://ubu.com/media/sound/perec_georges/interviews/3/Perec-Georges_Text-Interviews_02-Tentative-de-descripion..mp3",UbuWeb Top Tens
Vicki Bennett,https://ubu.com/resources/plu.html,"Top Tens, Dick Higgins ""Danger Music Number Seventeen"", Tellus 24 - Flux Tellus, Bruce Nauman ""Work Work"", Raw Material, La Monte Young ""Poem For Chairs Tables Benches"", Christian Bök ""Ubu Hubbub"", Bök on UbuWeb, Gwilly Edmondez ""What Do People Do All Day"", Max Kurt / Anatomical Disseminator, Jem Finer ""Piano Pieces"", Komar and Melamid & Dave Soldier ""The Most Unwanted Song"", The People's Choice Music, Wim Schippers ""Stemmen AKA Voices"" (1972), Meredith Monk ""Procession"", Airwaves, Sean Landers on UbuWeb, Kenneth Anger ""Lucifer Rising"", Dick Higgins ""In Memoriam"", Higgins on UbuWeb, Hermann Nitsch ""Sunrise Music"", Das 6-Tage-Spiel Des Orgien Mysterien Theaters: 5-Tag, Robert Hughes ""The Shock Of The New"" (1982), Patrick Ireland ""Vowel Drawing"", Tellus 21 ""Audio By Visual Artists"", Bernstein on UbuWeb, Claude Closky ""The First Thousand Numbers Classified In Alphabetical Order"", On Kawara ""One Million Years"", Kawara on UbuWeb, John Cage ""Lecture On Nothing"", Kaegan Sparks, here, films","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/flux_tellus/Flux-Tellus_13.mp3, https://ubu.com/sound/tellus_24.html, https://ubu.com/media/sound/nauman_bruce/Bruce-Nauman_04-Work-Work.mp3, https://ubu.com/sound/nauman.html, https://ubu.com/media/sound/flux_tellus/Flux-Tellus_09.mp3, https://ubu.com/media/sound/bok/Bok-Christian_Ubu-Hubbub.mp3, https://ubu.com/sound/bok.html, https://ubu.com/media/sound/Edmondez_Gwilly/MAX_KURT_%20Anatomical_Disseminator/Edmondez-Gwilly_Track-15_Max-Kurt-One_2009.mp3, https://ubu.com/sound/edmondez_kurt-anatomical.html, https://ubu.com/film/finer_piano.html, https://ubu.com/media/sound/komar_melamid/KomarMelamid_The-Most-UnwantedSong.mp3, https://ubu.com/sound/komar.html, https://ubu.com/film/schippers_stemmen.html, https://ubu.com/media/sound/airwaves/Airwaves_07_MONK_PROCESSION.mp3, https://ubu.com/sound/airwaves.html, https://ubu.com/sound/landers.html, https://ubu.com/film/anger_lucifer.html, https://ubu.com/media/sound/fluxus_box/Fluxus-Anthology-30th_14-03_Dick_Higgins.mp3, https://ubu.com/sound/higgins.html, https://ubu.com/media/sound/nitsch_hermann/6_tage/Nitsch-Hermann_Das-6-Tage-Spiel_1998_01_01-Sunrise-Music.mp3, https://ubu.com/sound/nitsch.html, https://ubu.com/film/hughes.html, https://ubu.com/media/sound/artist_tellus/Tellus-21-Artists_10_ireland.mp3, https://ubu.com/sound/tellus_21.html, https://ubu.com/sound/bernstein.html, https://ubu.com/concept/closky_1000.html, https://ubu.com/media/sound/kawara_on/Kawara-On_One-Million-Years.mp3, https://ubu.com/sound/kawara.html, https://ubu.com/media/sound/Sparks-Kaegan_Cage-John_Lecture-on-Nothing_2007.mp3, https://ubu.com/sound/cage.html, https://ubu.com/resources/sound/plu.html, https://ubu.com/resources/film/plu.html",UbuWeb Top Tens
Caroline Bergvall,https://ubu.com/resources/bergvall.html,"Top Tens, Augusto de Campos' ""Dias Dias Dias"" spoken by Caetano Veloso, Robert Ashley, ""In Sara Mencken, Christ and Beethoven There Were Men and Women"", John Cage, ""excerpt from Silence"", Meredith Monk ""Rally"", John Ashbery, ""A Blessing in Disguise"", On Kawara, ""One Million Years"", Roland Barthes, ""Inaugural lecture at the Collège de France""","https://ubu.com/resources/top_tens.html, https://ubu.com/media/sound/decampos_augusto/DeCampos-Augusto_Veloso-Caetano_Dias%20Dias%20Dias_1979.mp3, https://ubu.com/media/sound/ashley_robert/Ashley-Robert_In-Sara-Mencken.mp3, https://ubu.com/media/sound/dial_a_poem_poets/disconnected/Disconnected_07_cage.mp3, https://ubu.com/media/sound/airwaves/Airwaves_06_MONK_RALLY.mp3, https://ubu.com/media/sound/dial_a_poem_poets/corpse/Corpse_16_ashbery.mp3, https://ubu.com/media/sound/kawara_on/Kawara-On_One-Million-Years.mp3, https://ubu.com/media/sound/barthes_roland/Barthes-Roland_Lecon-inaugurale-au-College-de-France-7-Janvier-1977.mp3",UbuWeb Top Tens
Charles Bernstein,https://ubu.com/resources/bernstein.html,"Top Tens, Kevin Davies, ""Pause Button"", Craig Dworkin, ""Legion II"", Deanna Ferguson, ""The Relative Minor"", Marjorie Perloff, ""Concrete Prose: Haraldo de Campos Galáxias and After"", Yunte Huang, ""Angel Island and the Poetics of Error"" [PDF], George Kuchar, ""The Kiss of Frankenstein"", Ron Silliman, ""Sunset Debris"", Aram Saroyan, ""Aram Saroyan"", Brian Kim Stefans, ""Alpha Betty's Chronicles"", Hannah Weiner, ""Little Books/Indians"", Gertrude Stein, from Five Words in a Line","https://ubu.com/resources/top_tens.html, https://ubu.com/ubu/davies_pause.html, https://ubu.com/contemp/dworkin/dworkin_legion.pdf, https://ubu.com/ubu/pdf/ferguson_relative.pdf, https://ubu.com/papers/perloff.html, https://ubu.com/ethno/discourses/huang.pdf, https://ubu.com/ubu/unpub/Unpub_012_Kuchar_Frankenstein.pdf, https://ubu.com/ubu/pdf/silliman_sunset.pdf, https://ubu.com/historical/saroyan/saroyan01.html, https://ubu.com/ubu/stefans_alpha.html, https://ubu.com/ubu/weiner_indians.html, https://ubu.com/concept/stein_five.html",UbuWeb Top Tens
Ina Blom,https://ubu.com/resources/blom.html,"Top Tens, Kenneth Anger - Puce Moment, Charlemagne Palestine - Island Song, Christian Marclay - Record Without A Cover, Marclay on Ubu, Keith Sonnier - Air to Air I & II, Raoul Hausmann- Phonemes, Hausmann on UbuWeb, Philip Guston's Poem Pictures, Wilhelm Sasnal - The Band, Pina Bausch - Café Müller, The fact that George Brecht's eight tampon and absorbent product-related patents are listed under Electronic Musical Resources","https://ubu.com/resources/top_tens.html, https://ubu.com/film/anger_puce.html, https://ubu.com/film/palestine.html, https://ubu.com/media/sound/marclay_christian/Record-Without-a-Cover/Marclay-Christian_Record-Without-A-Cover_1985.mp3, https://ubu.com/sound/marclay.html, https://ubu.com/sound/sonnier.html, https://ubu.com/media/sound/hausmann_raoul/Hausmann-Raoul_Phonemes.mp3, https://ubu.com/sound/hausmann.html, https://ubu.com/historical/guston/guston_nixon.html, https://ubu.com/film/sasnal_theband.html, https://ubu.com/film/bausch_muller.html, https://ubu.com/emr/patents/01individuals/brecht.html",UbuWeb Top Tens
Roddy Bogawa,https://ubu.com/resources/bogawa.html,"Top Tens, ""I will not make any more boring art"" - John Baldessari, Grids - Rosalind Krauss, Dance or Walk on the Perimeter of a Square (1967) - Bruce Nauman, Kurt Kren - 3/1960 Trees in Autumn, (1960), The South Bank Show (1985) - Francis Bacon, Strange Space (1993) - Leslie Thornton, Rhys Chatham (with Glenn Branca, Nina Canal, Wharton Tiers) - Guitar Trio (1977) [MP3 link], Vladimir et Rosa (1971) - Dziga Vertov Group, Handsworth Songs (1986) - Black Audio Film Collective, Lives of Performers (1972) - Yvonne Rainer, here","https://ubu.com/resources/top_tens.html, https://ubu.com/film/baldessari_boring.html, https://ubu.com/papers/krauss_grids.html, https://ubu.com/film/nauman_perimeter.html, https://ubu.com/film/kren_baum.html, https://ubu.com/film/bacon_south.html, https://ubu.com/film/thornton_strangespace.html, https://ubu.com/media/sound/tellus_1/Tellus-1_17_Rhys_Chatham.mp3, https://ubu.com/film/vertov_vladimir.html, https://ubu.com/film/bafc_handsworth1.html, https://ubu.com/film/rainer_performers.html, https://ubu.com/film/bogawa.html",UbuWeb Top Tens
Christian Bök,https://ubu.com/resources/bok.html,"Top Tens, Claude Closky: ""The First Thousand Numbers Classified in Alphabetical Order"" (1989) [PDF], Darren Wershler-Henry: ""The Tapeworm Foundry"" (2002), Claude Simon: ""Properties of Several Geometric and Non-Geometric Figures"" (1971), F. T. Marinetti: ""Dune, Parole in Libertà"" (1914), Survival Research Laboratories: ""Virtues of Negative Fascination"" (1985-86), Trek Bloopers, IBM 7090: ""Music from Mathematics"" (1962), Christian Bök","https://ubu.com/resources/top_tens.html, https://ubu.com/concept/Claude_Closky_1000.pdf, https://ubu.com/ubu/wershler_tapeworm.html, https://ubu.com/ubu/simon_properties.html, https://ubu.com/media/sound/bruhin_anton/rotomotor/Bruhin-Anton_Rotomotor_05_Rotomotor.mp3, https://ubu.com/film/srl_virtues.html, https://ubu.com/outsiders/365/2007/199.html, https://ubu.com/outsiders/365/2003/260.html, https://ubu.com/sound/bok.html",UbuWeb Top Tens
AA Bronson,https://ubu.com/resources/bronson.html,"Top Tens, Ethel Waters ""That Da Da Strain"", Glossolalia: Speaking In Tongues, Occult Voices – Paranormal Music, Recordings of unseen Intelligences 1905-2007, Yves Klein, The Monotone Symphony [MP3], Sun Ra: Message to Earthman, Kurt Weill: Die Dreigroschenoper / Berlin 1930, William S. Burroughs reads Junky, Jack Smith: Flaming Creatures, George Kuchar: Hold Me While I'm Naked, General Idea - Shut the Fuck Up","https://ubu.com/resources/top_tens.html, https://ubu.com/ethno/soundings/waters.html, https://ubu.com/ethno/soundings/gloss.html, https://ubu.com/sound/occult.html, https://ubu.com/media/sound/klein_yves/Klein-Yves_Monotone-Symphony_Excerpt.mp3, https://ubu.com/sound/ra.html, https://ubu.com/sound/weill.html, https://ubu.com/sound/burroughs_junky.html, https://ubu.com/film/smith-jack_flaming.html, https://ubu.com/film/kuchar_naked.html, https://ubu.com/film/general_idea_shut.html",UbuWeb Top Tens
Château de Montsoreau Musée d'art contemporain,https://ubu.com/resources/montsoreau.html,"Top Tens, Art & Language, David Bainbridge, Notes on M1, (1969), Francis Picabia, Manifeste Cannibale Dada (27th March 1920), Lumière Brothers, Danse Serpentine (1896), Bruce Nauman, playing the violin as fast as I can (1967-68), Georges Perec, The Infra-Ordinary (1973), Charlotte Moorman, John Cage 26'1.1499'' for a string Player (1967) [MP3 link], Bernar Venet, Statements (1971), Laurie Anderson, Self-Playing Violin (1976) [MP3 link]","https://ubu.com/resources/top_tens.html, https://ubu.com/papers/bainbridge_m1.html, https://ubu.com/papers/picabia_cannibale.html, https://ubu.com/film/lumieres_danse-serpentine.html, https://ubu.com/film/nauman_violin1.html, https://ubu.com/papers/perec_infraordinary.html, https://ubu.com/media/sound/moorman_charlotte/Moorman-Charlotte_01_261.499.mp3, https://ubu.com/papers/venet_statements.html, https://ubu.com/media/sound/anderson_laurie/var/Anderson-Laurie_01-self-playing-violin-1974.mp3",UbuWeb Top Tens
Heman Chong,https://ubu.com/resources/chong.html,"Top Tens, A Day in the Life of a Musician - Erik Satie, Olivier Assayas - Sans titre AKA Man Yuk: A Portrait of Maggie Cheung (1997), Theodor Adorno -- ""Punctuation Marks"" (1956) [PDF], Hito Steyerl - November (2004), Susan Sontag - The Aesthetics of Silence, Annika Eriksson - Staff at Moderna Museet (2000), John Baldessari - Six Colorful Tales: From the Emotional Spectrum (Women) (1977), Spike Jonze - Weapon of Choice, Pina Bausch - Kontakthof mit Senioren ab ""65"" (2000), Dora García - The Deviant Majority from Basaglia to Brazil (2010), Philip K. Dick Interview, Profile Of A Writer: Borges (documentary film), Paul Pfeiffer - John 3:16, Joan Jonas - Vertical Roll (1972), Samuel Beckett - Not I (1973)","https://ubu.com/resources/top_tens.html, https://ubu.com/papers/satie_day.html, https://ubu.com/film/assayas_cheung.html, https://ubu.com/papers/Adorno-Theodor-W-Punctuation-Marks.pdf, https://ubu.com/film/steyerl_november.html, https://ubu.com/aspen/aspen5and6/threeEssays.html#sontag, https://ubu.com/film/eriksson_museet.html, https://ubu.com/film/baldessari_six.html, https://ubu.com/film/fatboy-slim_weapon-of-choice.html, https://ubu.com/film/bausch_kontakthof.html, https://ubu.com/film/garcia_deviant.html, https://ubu.com/film/dick_interview.html, https://ubu.com/film/borges_portrait.html, https://ubu.com/film/pfeiffer_john.html, https://ubu.com/film/jonas_vertical.html, https://ubu.com/film/beckett_not.html",UbuWeb Top Tens
Carolyn Christov-Bakargiev,https://ubu.com/resources/ccb.html,"Top Tens, Stein page on Ubu, Paul Chan - Untitled Video on Lynne Stewart and Her Conviction, The Law, and Poetry (2006), Maya Deren - A Study in Choreography for Camera (1945), Forough Farrokhzad - Radio Tehran Sessions (1962-1964), Farrokhzad page on Ubu, Canada Inuit Games and Songs - Katajjaq, Inuit page on Ubu, John Cage - Mushroom Haiku, excerpt from Silence (1972/69), from The Dial-A-Poem Poets LP, Dan Graham - Performer/Audience/Mirror (1975), Jacques Lacan - Télévision","https://ubu.com/resources/top_tens.html, https://ubu.com/sound/stein.html, https://ubu.com/film/chan_stewart.html, https://ubu.com/film/deren_study-in-choreography.html, https://ubu.com/media/sound/bidoun/forough_farrokhzad/radio_tehran_sessions/farrokhzad_forough_radio_tehran_sessions_1962-1964.mp3, https://ubu.com/sound/farrokhzad.html, https://ubu.com/media/sound/ethno/inuit/mp3/Inuit-Throat-Singing_05.mp3 , https://ubu.com/sound/inuit.html, https://ubu.com/media/sound/dial_a_poem_poets/dial/The-Dial-A-Poem-Poets_20_cage.mp3, https://ubu.com/sound/dial.html, https://ubu.com/film/graham_performer.html, https://ubu.com/film/lacan.html",UbuWeb Top Tens
Rebecca Cleman,https://ubu.com/resources/cleman.html,"Top Tens, Zoe Beloff, The Dream Films, Patent: Apparatus for Drying and Treating of Hair Via Ultrasonics, Brian De Palma, The Responsive Eye, Philip Guston and Clark Coolidge, A Car Part, George Kuchar, The Kiss of Frankenstein script, The Space Lady, Major Tom, Claude Closky, The first thousand numbers classified in alphabetical order, Avant Garde Project, Carl Ruggles, Ryan Trecartin, K-CoreaINC.K (Section A) script","https://ubu.com/resources/top_tens.html, https://ubu.com/film/beloff.html, https://ubu.com/emr/patents/_docs/patents/07infra-ultrasound/apparatusfordrying_goble.pdf, https://ubu.com/film/depalma_responsive.html, https://ubu.com/historical/guston/guston01.html, https://ubu.com/ubu/unpub/Unpub_012_Kuchar_Frankenstein.pdf, https://ubu.com/outsiders/365/2003/002.html, https://ubu.com/concept/Claude_Closky_1000.pdf, https://ubu.com/sound/agp/AGP167.html, https://ubu.com/ubu/unpub/Unpub_046_Trecartin.pdf",UbuWeb Top Tens
Joshua Clover,https://ubu.com/resources/clover.html,"Top Tens, Guy Debord ""In Girum Imus Nocte Et Consumimur Igni"", Guy Debord ""Howlings Against Sade"", Yoko Ono ""Snow Is Falling All The Time"", Tadanori Yokoo ""Three Animation Films"", Susan Sontag ""The Aesthetics of Silence"", Patrizia Vicinelli ""Seven Poems"", Shaker Visual Poetry, Apollinaiire ""Le pont Mirabeau""","https://ubu.com/resources/top_tens.html, https://ubu.com/film/debord_ingirum.html, https://ubu.com/film/debord_hurlements.html, https://ubu.com/media/sound/aspen/mp3/ono2.mp3, https://ubu.com/film/yokoo.html, https://ubu.com/aspen/aspen5and6/threeEssays.html#sontag, https://ubu.com/media/sound/vicinelli_patrizia/Vicinelli-Patrizia_Sette-Poemi_1967-76.mp3, https://ubu.com/ethno/visuals/shaker.html, https://ubu.com/media/sound/apollinaire_guillaume/Apollinaire-Guillaume_Le-Pont-Mirabeau_1913.mp3",UbuWeb Top Tens
Mathieu Copeland,https://ubu.com/resources/copeland.html,"Top Tens, Dziga Vertov Group - Letter to Jane, Michael Snow - So this is, Karl Holmqvist - Rockland, Meredith Monk - As if it came from an oral tradition, Chicago '82: A Dip in the Lake, James Lee Byars - Pronounce perfect until it appears, 1979, 0'03"", Happy New Ear, Salvador Dali - La Méthode Paranoïaque Critique, Je Suis Fou De Dalí!, Gilbert and George - Ten Commandments for Gilbert and George, Keren Cytter - Der Spiegel, here, here, Bern Porter - The Last Acts of St. Fuck You [PDF], Bern Porter on Ubu","https://ubu.com/resources/top_tens.html, https://ubu.com/film/vertov_jane.html, https://ubu.com/film/snow_so.html, https://ubu.com/film/holmqvist_rockland.html, https://ubu.com/media/sound/chicago_82/Chicago_82-A9_Meredith-Monk_As-if-it-came.mp3, https://ubu.com/sound/chicago82.html, https://ubu.com/media/sound/happy/Happy-New-Ear_20.mp3, https://ubu.com/sound/happy.html, https://ubu.com/media/sound/Dali-Salvador/Dali_Salvador_09_Methode-Paranoiaque_Fou-de-dali_1975.mp3, https://ubu.com/sound/dali.html, https://ubu.com/film/gg_ten.html, https://ubu.com/film/cytter_spiegel.html, https://ubu.com/film/cobbing_fencott.html, https://ubu.com/film/cobbing_recital.html, https://ubu.com/historical/porter/Porter-Bern_The-Last-Acts-of-St.-Fuck-You.pdf, https://ubu.com/sound/porter.html",UbuWeb Top Tens
